Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","2032 Battery Connector",-71.551800,-52.984400,-90.000000,bottom
"C1","10nF","C_0402_1005Metric",-57.861200,-51.231800,-90.000000,bottom
"C2","220uF","CP_Elec_6.3x5.4",-38.709600,-72.110600,90.000000,bottom
"C3","220uF","CP_Elec_6.3x5.4",-52.959000,-74.930000,90.000000,bottom
"C4","220uF","CP_Elec_6.3x5.4",-30.302200,-48.971200,0.000000,bottom
"C5","220uF","CP_Elec_6.3x5.4",-29.108400,-61.798200,0.000000,bottom
"C6","220uF","CP_Elec_6.3x5.4",-66.446400,-71.247000,180.000000,bottom
"D1","BLUE","1.3x3.2mm LED",-47.625000,-47.625000,180.000000,bottom
"D2","BLUE","1.3x3.2mm LED",-57.769760,-47.625000,180.000000,bottom
"R1","220","R_0201_0603Metric",-37.064982,-42.351664,0.000000,bottom
"R2","220","R_0201_0603Metric",-37.191982,-36.585864,-90.000000,bottom
"R3","220","R_0201_0603Metric",-39.020782,-34.020464,-90.000000,bottom
"R4","220","R_0201_0603Metric",-35.500382,-38.795664,0.000000,bottom
"R5","220","R_0201_0603Metric",-49.885600,-50.825400,90.000000,bottom
"R6","220","R_0201_0603Metric",-52.400200,-50.749200,90.000000,bottom
"SW1","SW_DP3T","DP3T Slide Switch",-33.629600,-34.112200,45.000000,bottom
"U1","NA555P","LM555CM",-52.247800,-58.572400,90.000000,bottom
